Continent,Winner,Surface,Wins
SA,Norrie C.,Clay,3
SA,Ofner S.,Clay,1
SA,Popyrin A.,Clay,2
SA,Ramos-Vinolas A.,Clay,2
SA,Rune H.,Clay,2
SA,Ruud C.,Clay,4
SA,Safiullin R.,Clay,1
SA,Seyboth Wild T.,Clay,2
SA,Sinner J.,Clay,3
SA,Sonego L.,Clay,1
SA,Struff J.L.,Clay,2
SA,Tabilo A.,Clay,2
SA,Tirante T.A.,Clay,1
SA,Tsitsipas S.,Clay,6
SA,Ugo Carabelli C.,Clay,1
SA,Vavassori A.,Clay,2
SA,Wawrinka S.,Clay,1
SA,Zapata Miralles B.,Clay,1
SA,Zhang Zh.,Clay,1
SA,Zverev A.,Clay,1
NA,Albot R.,Clay,0
NA,Alcaraz C.,Clay,0
NA,Altmaier D.,Clay,0
NA,Arnaldi M.,Clay,0
NA,Auger-Aliassime F.,Clay,0
NA,Baez S.,Clay,4
NA,Barrios M.,Clay,1
NA,Bautista Agut R.,Clay,0
NA,Bellucci M.,Clay,0
NA,Bergs Z.,Clay,1
NA,Berrettini M.,Clay,0
NA,Bolt A.,Clay,0
NA,Borges N.,Clay,0
NA,Bublik A.,Clay,0
NA,Carballes Baena R.,Clay,0
NA,Carreno Busta P.,Clay,0
NA,Cazaux A.,Clay,0
NA,Cerundolo F.,Clay,0
NA,Cerundolo J.M.,Clay,1
NA,Cobolli F.,Clay,0
NA,Comesana F.,Clay,0
NA,Coria F.,Clay,1
NA,Coric B.,Clay,0
NA,Cressy M.,Clay,0
NA,Damm M.,Clay,0
NA,Daniel T.,Clay,0
NA,Darderi L.,Clay,5
NA,Davidovich Fokina A.,Clay,0
NA,De Minaur A.,Clay,0
NA,Diallo G.,Clay,0
NA,Diaz Acosta F.,Clay,1
NA,Dimitrov G.,Clay,0
NA,Djere L.,Clay,0
NA,Djokovic N.,Clay,0
NA,Draper J.,Clay,0
NA,Duckworth J.,Clay,1
NA,Etcheverry T.,Clay,2
NA,Eubanks C.,Clay,0
NA,Evans D.,Clay,0
NA,Fils A.,Clay,1
NA,Fognini F.,Clay,0
NA,Fritz T.,Clay,0
NA,Fucsovics M.,Clay,0
NA,Galan D.E.,Clay,1
NA,Garin C.,Clay,0
NA,Giron M.,Clay,2
NA,Goffin D.,Clay,0
NA,Griekspoor T.,Clay,0
NA,Hanfmann Y.,Clay,0
NA,Harris B.,Clay,0
NA,Hijikata R.,Clay,1
NA,Hong S.,Clay,0
NA,Humbert U.,Clay,0
NA,Hurkacz H.,Clay,0
NA,Jarry N.,Clay,1
NA,Karatsev A.,Clay,0
NA,Kecmanovic M.,Clay,0
NA,Khachanov K.,Clay,0
NA,Klein L.,Clay,0
NA,Koepfer D.,Clay,0
NA,Kokkinakis T.,Clay,0
NA,Korda S.,Clay,0
NA,Kotov P.,Clay,0
NA,Kovacevic A.,Clay,1
NA,Krueger M.,Clay,0
NA,Kudla D.,Clay,0
NA,Kwon S.W.,Clay,0
NA,Kypson P.,Clay,0
NA,Lajovic D.,Clay,0
NA,Landaluce M.,Clay,0
NA,Lehecka J.,Clay,0
NA,Lestienne C.,Clay,0
NA,Machac T.,Clay,0
NA,Mannarino A.,Clay,0
NA,Marozsan F.,Clay,0
NA,Martinez P.,Clay,3
NA,Mayot H.,Clay,0
NA,Mcdonald M.,Clay,0
NA,Medvedev D.,Clay,0
NA,Mensik J.,Clay,0
NA,Michelsen A.,Clay,0
NA,Mmoh M.,Clay,2
NA,Monfils G.,Clay,0
NA,Moreno De Alboran N.,Clay,0
NA,Moutet C.,Clay,3
NA,Mpetshi G.,Clay,0
NA,Muller A.,Clay,0
NA,Munar J.,Clay,2
NA,Murray A.,Clay,0
NA,Musetti L.,Clay,0
NA,Nakashima B.,Clay,2
NA,Nardi L.,Clay,0
NA,Navone M.,Clay,0
NA,Nishikori K.,Clay,0
NA,Nishioka Y.,Clay,0
NA,Norrie C.,Clay,0
NA,O Connell C.,Clay,0
NA,Ofner S.,Clay,0
NA,Opelka R.,Clay,0
NA,Paire B.,Clay,0
NA,Paul T.,Clay,0
NA,Popyrin A.,Clay,0
NA,Pouille L.,Clay,0
NA,Purcell M.,Clay,1
NA,Quinn E.,Clay,0
NA,Ramos-Vinolas A.,Clay,1
NA,Raonic M.,Clay,0
NA,Rinderknech A.,Clay,0
NA,Rublev A.,Clay,0
NA,Rune H.,Clay,0
NA,Ruud C.,Clay,0
NA,Ruusuvuori E.,Clay,0
NA,Safiullin R.,Clay,0
NA,Schoolkate T.,Clay,0
NA,Seyboth Wild T.,Clay,1
NA,Shang J.,Clay,0
NA,Shapovalov D.,Clay,0
NA,Shelton B.,Clay,4
NA,Shevchenko A.,Clay,0
NA,Sinner J.,Clay,0
NA,Sonego L.,Clay,0
NA,Spizzirri E.,Clay,0
NA,Stricker D.,Clay,0
NA,Struff J.L.,Clay,0
NA,Svajda Z.,Clay,0
NA,Tabilo A.,Clay,3
NA,Thompson J.,Clay,2
NA,Tiafoe F.,Clay,3
NA,Tien L.,Clay,0
NA,Tirante T.A.,Clay,1
NA,Tsitsipas S.,Clay,0
NA,Van Assche L.,Clay,0
NA,Van De Zandschulp B.,Clay,0
NA,Varillas J.P.,Clay,1
NA,Vavassori A.,Clay,0
NA,Virtanen O.,Clay,0
NA,Vukic A.,Clay,0
NA,Walton A.,Clay,0
NA,Wolf J.J.,Clay,1
NA,Zhang Zh.,Clay,0
NA,Zverev A.,Clay,0
AF,Berrettini M.,Clay,5
AF,Carballes Baena R.,Clay,4
AF,Cobolli F.,Clay,1
AF,Fognini F.,Clay,2
AF,Goffin D.,Clay,1
AF,Kotov P.,Clay,3
AF,Moreno De Alboran N.,Clay,2
AF,Munar J.,Clay,1
AF,Nagal S.,Clay,1
AF,Navone M.,Clay,3
AF,Sonego L.,Clay,1
AF,Vukic A.,Clay,2
AF,Wawrinka S.,Clay,1
